Q1,Q2,Q3,Q4,Q5,Q5_6_TEXT,Q6,Q6_6_TEXT,Q7,Q7_14_TEXT,Q8_4,Q9,Q10,Q10_5_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_2,Q28,Q29,Q30_4,Q31,Q32_4,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q35,Q36,Q37,Q38,Q39,Q39_44_TEXT,Q40,Q41,Q41_19_TEXT,Q42,Q43,Q44,Q45,Q46,Q46_101_TEXT,Finished
Yes,Yes,Equity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability",,4.5,No,Time and a half,,10,No,,Yes,Yes,Yes,No,1090,2400,Increase,Increase,350,1200000,Yes,300000,,100,Somewhat dissatisfied,No,,Somewhat less,5,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Somewhat important,Highly important,Somewhat important,Somewhat important,Not important,Yes,2200,900,10,Class Action,,United States,Los Angeles,,90067,Male,45,White,University of Colorado--Boulder,,1
Yes,Yes,Nonequity,Yes,"Bonus,Other",salary,Entirely discretionary,,"401K,Dental,Short-term disability,Long-term disability,Life insurance,Other",Technology allowance,6,No,Organization doesn't compensate for overtime,,10,No,,Yes,Yes,Yes,No,425,1640,Stay the same,Increase,800,177500,Yes,0,,5,Somewhat satisfied,Yes,7,Somewhat more,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly satisfied,Highly important,Highly important,Somewhat important,Not important,Not important,Yes,550,200,3,Environmental,,United States,Other (Please specify),Louisville,40202,Male,38,White,Other,,1
Yes,Yes,Nonequity,Yes,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,8,No,,Yes,Yes,Yes,Yes,550,1400,Decrease,Decrease,750,275000,No,168000,,0,Somewhat satisfied,Yes,10,About the same,,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Extremely important,Extremely important,Highly important,Highly important,Highly important,Yes,500,200,40,General Litigation,,United States,Phoenix,,85004,Male,69,White,University of Arizona (Rodgers),,1
Yes,Yes,Equity,No,"Bonus,Cashouts",,Entirely discretionary,,"401K,Defined benefit pension plan,Cash balance pension plan,Medical,Dental,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,9,Yes,"2,500,000",No,No,Yes,No,1250,2200,Decrease,Decrease,500,2000000,Yes,2000000,9,,Very satisfied,No,,Somewhat more,1,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Not important,Not important,Not important,Not important,Not important,Yes,1400,400,6,General Litigation,,United States,San Francisco,,94105,Male,43,White,Other,,1
Yes,Yes,Equity,No,"Bonus,Nonequity incentive compensation",,Entirely discretionary,,"401K,Profit sharing plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,10,Yes,450000,No,No,Yes,Yes,465,1795,Decrease,Increase,300,400000,Yes,350000,11,,Somewhat satisfied,No,,Somewhat more,3,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Somewhat important,Extremely important,Not important,Highly important,Extremely important,Yes,950,400,8,Employment,,United States,Other (Please specify),"Portland, OR",97201,Female,44,White,New York University,,1
Yes,Yes,Equity,No,Cashouts,,No plan,,"Medical,Dental,Short-term disability,Long-term disability,Life insurance",,,No,Organization doesn't compensate for overtime,,8,Yes,"600,000",No,No,Yes,No,725,1500,Decrease,Decrease,500,700000,No,0,11,,Somewhat dissatisfied,No,,Somewhat less,2,Mostly dissatisfied,Very satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Extremely important,Extremely important,Not important,Somewhat important,Not important,Yes,150,60,15,General Litigation,,United States,Los Angeles,,90067,Female,55,White,Other,,1
Yes,Yes,Equity,No,Other,Cash ,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,9,Yes,975000,No,No,Yes,No,635,1925,Increase,Stay the same,400,550000,No,400000,8,,Somewhat satisfied,Yes,10,Somewhat more,40,Very satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Highly important,Not important,Not important,Somewhat important,Somewhat important,Yes,300,90,5,Employment,,United States,Chicago,,60601,Male,39,White,Illinois Institute of Technology (Chicago - Kent),,1
Yes,Yes,Equity,No,,,"Discretionary, based on firm performance",,"401K,Medical,Dental",,0,No,Organization doesn't compensate for overtime,,9,No,,No,No,Yes,No,400,1800,Increase,Increase,400,295000,No,0,6,,Very dissatisfied,No,,Somewhat less,10,Very dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Mostly satisfied,Very dissatisfied,Highly important,Somewhat important,Not important,Somewhat important,Somewhat important,No,150,60,9,Aerospace & Defense,,United States,Philadelphia,,15215,Male,49,Prefer not to identify,Temple University (Beasley),,1
Yes,Yes,Nonequity,No,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Other",Parking,0,Yes,Organization doesn't compensate for overtime,,9,Yes,300,No,No,Yes,No,550,1850,Decrease,Increase,400,300000,Yes,0,9,,Somewhat dissatisfied,Yes,15,Somewhat less,,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Somewhat important,Somewhat important,Somewhat important,Highly important,Highly important,Yes,900,350,9,Employment,,United States,Chicago,,60606,Female,44,White,Other,,1
Yes,Yes,Equity,Yes,Bonus,,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Life insurance",,4,No,Time and a half,,10,Yes,885000,No,No,Yes,No,1050,1200,Increase,Increase,1300,1200000,Yes,700000,,20,Neither satisfied or dissatisfied,No,,Somewhat less,35,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Very satisfied,Highly important,Highly important,Somewhat important,Not important,Somewhat important,Yes,1200,550,14,Banking,,United States,New York,,10036,Male,49,White,Other,,1
Yes,Yes,Equity,No,Bonus,,"Discretionary, based on firm performance",,"401K,Medical,Dental,Long-term disability,Gym/health club membership",,0,No,Organization doesn't compensate for overtime,,10,Yes,1350000,No,No,No,No,1065,2435,Decrease,Decrease,650,410000,No,410000,8,,Somewhat satisfied,Yes,42,Somewhat less,28,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Highly important,Highly important,Not important,Highly important,Somewhat important,Yes,750,250,6,White Collar,,United States,Washington D.C.,,20001,Male,39,White,Georgetown University,,1
Yes,Yes,Nonequity,No,Bonus,,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,0,No,Organization doesn't compensate for overtime,,9,No,,Yes,No,Yes,No,900,2200,Stay the same,Stay the same,900,1150000,Yes,1000000,7,,Very satisfied,No,,Somewhat more,,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Extremely important,Extremely important,Somewhat important,Highly important,Somewhat important,Yes,1100,500,7,Other (Please specify),Leveraged Finance,United States,Atlanta,,30309,Male,43,White,Georgia State University,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Options",,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,4.5,No,Organization doesn't compensate for overtime,,10,No,,Yes,Yes,Yes,Yes,1080,2400,Increase,Decrease,100,800000,Yes,375000,,20,Somewhat dissatisfied,No,,Somewhat less,2,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Not important,Somewhat important,Not important,Highly important,Not important,Yes,2400,900,35,Appellate,,United States,Washington D.C.,,20037,Male,74,White,University of Pennsylvania (Carey),,1
Yes,Yes,Equity,No,,,"Formulaic, based on individual performance",,"401K,Defined benefit pension plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,9,No,,No,Yes,Yes,Yes,700,1850,Stay the same,Increase,1000,900000,Yes,0,7,,Very satisfied,Yes,8,About the same,30,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Highly important,Somewhat important,Somewhat important,Not important,Somewhat important,Yes,800,350,5,Employment,,United States,San Francisco,,94109,Male,38,White,Duke University,,1
Yes,Yes,Equity,No,,,No plan,,"401K,Defined benefit pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,100,No,Time and a half,,10,Yes,2000000,No,No,Yes,No,1375,1800,Decrease,Stay the same,500,4000000,Yes,0,9,,Very satisfied,No,,About the same,50,Mostly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Not important,Not important,Not important,Somewhat important,Not important,Yes,900,250,20,Class Action,,United States,New York,,10007,Male,53,White,Other,,1
Yes,Yes,Equity,Yes,"Nonequity incentive compensation,Other",system based on annual award of points,Other,different for equity versus non-equity,"401K,Cash balance pension plan,SERP (Supplemental Executive Retirement Plan),Medical,Dental,Long-term disability",,0,No,Time and a half,,10,Yes,600k,No,No,Yes,No,675,1400,Decrease,Stay the same,600,600000,No,25k,,25,Very satisfied,Yes,30,About the same,20,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat important,Highly important,Highly important,Somewhat important,Somewhat important,Yes,101,59,8,Mergers & Acquisitions,,United States,Los Angeles,,90067,Male,64,White,Cornell University,,1
Yes,Yes,Equity,No,Other,"This question is very unclear.  What comepnsation does my firm offer to whom&gt; Equity partners? all partners? assocaites? Generally, equity partners have draws against projected total share of profit with possibility for bonuses as well; no equity have set draw with possible (and usual) bonuses; assocaies are salaried with bonus potential","Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Life insurance,Other",p[arking or public transport allowance,0,Yes,Time and a half,,8,No,,No,No,Yes,No,755,1000,Decrease,Stay the same,300,425000,No,400000,9,,Very satisfied,Yes,20,About the same,31,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,700,225,25,General Litigation,,United States,Charlotte,,28202,Male,63,White,University of North Carolina--Chapel Hill,,1
Yes,Yes,Nonequity,No,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Defined benefit pension plan,Medical,Dental,Long-term disability,Life insurance",,0,No,Organization doesn't compensate for overtime,,9,Yes,450000,No,Yes,Yes,No,750,1500,Decrease,Increase,200,375000,Yes,60000,12,,Somewhat satisfied,Yes,33,Somewhat less,,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Mostly satisfied,Mostly satisfied,Extremely important,Extremely important,Not important,Somewhat important,Not important,Yes,1200,700,15,Real Estate,,United States,Washington D.C.,,22102,Male,54,Asian,University of California--Berkeley,,1
Yes,Yes,Equity,No,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,10,Yes,"800,000",No,Yes,Yes,No,790,1520,Increase,Increase,650,700000,Yes,"700,000",8,,Somewhat satisfied,No,,Somewhat more,30,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,1000,400,14,Employment,,United States,Dallas,,75202,Male,47,White,Southern Methodist University (Dedman),,1
Yes,Yes,Equity,No,,,Other,None of the above,"Defined benefit pension plan,Medical,Car allowance",,,Yes,Organization doesn't compensate for overtime,,10,No,,No,No,No,No,700,1400,Stay the same,Stay the same,2000,1200000,Yes,320000,10,,Very satisfied,No,,About the same,25,Very satisfied,Very dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Very dissatisfied,Mostly dissatisfied,Mostly dissatisfied,Very dissatisfied,Highly important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Yes,320,45,19,International Arbitration,,Western Europe,,,,Male,55,White,Other,,1
Yes,Yes,Equity,No,Bonus,,Other,Based on past years performance but subjective,"401K,Profit sharing plan,Medical,Dental,Long-term disability,Other",Eye Care,0,No,Organization doesn't compensate for overtime,,15,Yes,"$500,000 ",No,No,Yes,No,650,1500,Increase,Stay the same,650,450000,Yes,0,8,,Neither satisfied or dissatisfied,Yes,5,About the same,0,Mostly satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Highly important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,160,100,10,Other (Please specify),design and construction,United States,Other (Please specify),San Francisco,94105,Female,57,Prefer not to identify,Other,,1
Yes,Yes,Equity,No,Bonus,,Entirely discretionary,,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,8,Yes,350000,No,No,Yes,Yes,600,2200,Increase,Stay the same,650,550000,Yes,0,8.5,,Very dissatisfied,No,,Much less,100,Very dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Very satisfied,Very satisfied,Mostly satisfied,Extremely important,Extremely important,Highly important,Highly important,Somewhat important,Yes,150,110,8,Capital Markets,,United States,Other (Please specify),Hartford,6103,Female,50,White,New York University,,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation,Cashouts",,"Discretionary, based on firm performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Time and a half,,9,Yes,200000,Yes,Yes,Yes,Yes,530,1300,Increase,Increase,400,437000,Yes,437000,,-10,Very satisfied,Yes,10,Somewhat less,5,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Highly important,Somewhat important,Not important,Highly important,Not important,Yes,975,400,10,Real Estate,,United States,Dallas,,75201,Male,49,Mixed race,Southern Methodist University (Dedman),,1
Yes,No,,Yes,Cashouts,,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Fluctuating workweek,,0,Yes,400000,No,,Yes,No,500,1300,Decrease,Increase,800,400000,No,400000,,25,Somewhat satisfied,Yes,30,About the same,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Not important,Highly important,Extremely important,Not important,Yes,275,200,25,Intellectual Property,,United States,Chicago,,46230,Male,55,White,Indiana University--Bloomington (Maurer),,1
Yes,Yes,Equity,Yes,"Bonus,Nonequity incentive compensation",,"Discretionary, based on firm performance",,"401K,Profit sharing plan,Cash balance pension plan,Medical,Dental,Short-term disability,Long-term disability,Life insurance,Gym/health club membership",,0,No,Other,DNK,7,Yes,400000,No,Yes,Yes,No,635,1500,Stay the same,Decrease,600,680000,No,550000,,100,Very satisfied,No,,Somewhat more,20,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Mostly satisfied,Very satisfied,Very satisfied,Very satisfied,Extremely important,Highly important,Somewhat important,Highly important,Not important,Yes,450,350,15,Fintech,,United States,Other (Please specify),Kansas City,64106,Female,62,White,Northwestern University (Pritzker),,1
Yes,Yes,Nonequity,Yes,Bonus,,"Discretionary, based on firm performance",,"401K,Medical,Dental,Long-term disability,Life insurance",,0,No,Time and a half,,9,No,,No,Yes,Yes,No,860,1750,Increase,Increase,500,600000,Yes,350000,,0,Somewhat satisfied,Yes,10,Somewhat more,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly dissatisfied,Neither satisfied nor dissatisfied,Somewhat important,Not important,Not important,Somewhat important,Not important,Yes,900,350,12,Employment,,United States,New York,,10018,Male,55,White,New York University,,1
Yes,No,,Yes,Bonus,,Entirely discretionary,,"401K,Profit sharing plan,Medical,Dental,Long-term disability,Life insurance",,4,Yes,Organization doesn't compensate for overtime,,7,Yes,300000,Yes,,Yes,Yes,500,2100,Decrease,Increase,0,1200000,Yes,"940,000",,20,Somewhat satisfied,Yes,33,Somewhat more,,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly dissatisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Mostly satisfied,Very satisfied,Somewhat important,Highly important,Somewhat important,Somewhat important,Somewhat important,Yes,186,100,10,General Litigation,,United States,Other (Please specify),Tulsa ok,74103,Female,60,White,Other,,1
Yes,Yes,Nonequity,No,Bonus,,"Formulaic, based on individual performance",,"401K,Profit sharing plan,Medical,Dental,Short-term disability,Long-term disability",,100,No,Organization doesn't compensate for overtime,,9,No,,Yes,Yes,Yes,No,915,2030,Stay the same,Stay the same,900,505000,Yes,430000,8,,Very dissatisfied,No,,Much less,,Very dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Mostly satisfied,Mostly dissatisfied,Highly important,Highly important,Somewhat important,Highly important,Somewhat important,Yes,1100,430,9,Health Care,,United States,Atlanta,,30309,Male,43,White,University of Georgia,,1
Yes,Yes,Nonequity,No,Bonus,,"Formulaic, based on individual performance",,"401K,Medical,Dental,Short-term disability,Long-term disability,Life insurance",,0,No,Comp time,,9,No,,No,No,Yes,Yes,850,1450,Stay the same,Decrease,250,375000,Yes,65000,8,,Somewhat dissatisfied,No,,About the same,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Mostly satisfied,Very satisfied,Mostly satisfied,Neither satisfied nor dissatisfied,Mostly satisfied,Mostly satisfied,Extremely important,Not important,Not important,Highly important,Somewhat important,Yes,1050,650,8,Banking,,United States,Chicago,,60603,Male,47,White,Duke University,,1
